,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
10,France,"This wine is perfumed with cherries and red berries. Its structure, which is certainly there, is almost secondary to this brilliant fruit. Balanced with a mineral dryness, the wine is certainly going to age into a ripe, pure-fruited wine. Drink from 2020.",Les Grèves Premier Cru,94,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2014 Les Grèves Premier Cru  (Beaune),Pinot Noir,Domaine des Croix,High
11,Germany,"Imagine honeyed orange sections—that's what the aromas of this wine call to mind. In the mouth, there's plenty of sweetness and power and a rich, creamy mouthfeel, matched by strident acids. Orange, apple and spice flavors linger on the finish.",Bernkasteler alte Badstube am Doctorberg Spätlese,91,31.0,Mosel-Saar-Ruwer,,,Joe Czerwinski,@JoeCz,Dr. Pauly Bergweiler 2006 Bernkasteler alte Badstube am Doctorberg Spätlese Riesling (Mosel-Saar-Ruwer),Riesling,Dr. Pauly Bergweiler,High
12,Italy,"With more than a decade of careful aging under its belt, Vigneti di Osan Amarone offers sweet cherry flavors, dark concentration and bright aromas of vanilla and spice. The wine still makes a big impact in the mouth and is a delightful surprise overall.",Vigneti di Osan,93,90.0,Veneto,Amarone della Valpolicella Classico,,,,Corteforte 1998 Vigneti di Osan  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Corteforte,High
13,Spain,"Minerally aromas of crushed stone, schist and red-berry fruits feed into a tight palate with an iron grip. Plum, raspberry, cherry and cassis flavors cover the full spectrum of red fruits, while a chalky, minerally finish confirms the wine's intensity and structure. Drink through 2022.",,91,40.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Genium Celler 2010 Red (Priorat),Red Blend,Genium Celler,High
14,US,"The aromas are brooding, with notes of plum, barrel spice, incense and black cherry. The palate is rich and concentrated with blackberry flavors, backed by firm tannins that need some time to settle in. It's high on the hedonistic scale.",Shaw Vineyard,93,65.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,DeLille 2014 Shaw Vineyard Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,DeLille,High
15,US,"A sensational value, the grapes come from top vineyards that generally command high prices. Tobacco and cherry scents roll smoothly into a rich, dense palate loaded with kirsch, crème de cassis and framboise flavors. The fruit is concentrated, sappy and deep.",Four Vineyards,91,18.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Arbor Crest 2012 Four Vineyards Merlot (Columbia Valley (WA)),Merlot,Arbor Crest,High
16,Spain,"Black plum, licorice and cool green-herb aromas rest in front of a full-bodied, tannic, chunky palate. Flavors of herbal black fruits come with a salty edge and a meaty underbelly. A long, rolling, deep finish is encouraging and stout. Best from 2018–2024.",Alma Tobia,91,48.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Tobía 2009 Alma Tobia  (Rioja),Tempranillo Blend,Bodegas Tobía,High
17,France,"Still young and firm, this wine gives indications of potential fruitiness along with a structure that promises concentration. Layers of black fruits and acidity need time to integrate fully with the dark structure and dense texture. Wait to drink this wine for a few more years, at least until 2018.",,91,104.0,Burgundy,Corton Les Renardes,,Roger Voss,@vossroger,Domaine Maillard 2011  Corton Les Renardes,Pinot Noir,Domaine Maillard,High
18,US,"As salty as preserved lemon brine, this wine is medium-bodied, with integrated oak, having aged in 33% new French barrels. Golden delicious apple and a spicy bite of quince round out the subtle fruit flavors, bolstered by gravelly texture.",Sweetwater Springs Vineyard,91,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Brick & Mortar 2015 Sweetwater Springs Vineyard Chardonnay (Russian River Valley),Chardonnay,Brick & Mortar,High
19,US,"The first Syrah in an expanding lineup of Tranche estate wines from the Blue Mountain Vineyard, this exceptional effort hews to a European style despite its substantial alcohol. Initially dark and smoky, hinting at streaks of herb and showing compact berry fruit flavors, it broadens out and expands aromatically, weaving in highlights of cured meats, bacon and clean earth. Just a dollop of herb and stem adds further interest, in a wine that retains its elegance along with exceptional power.",Estate,93,35.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Tranche 2008 Estate Syrah (Walla Walla Valley (WA)),Syrah,Tranche,High
20,US,"From estate grapes aged nine months in 100% new French oak, this features toasted wood that speaks in hushed undertones beneath a wealth of tangy stone fruit, baked pear and pineapple. Enjoyable now, it has a voluptuous richness on the midpalate that meets more nuanced acidity as it washes down.",Estate Grown Cave Fermented,94,68.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Jarvis 2014 Estate Grown Cave Fermented Chardonnay (Napa Valley),Chardonnay,Jarvis,High
21,US,"Exotic hints of dill and clove open on the nose in this elegantly robust wine, which finds a balance in its brightness of red cherry and red currant. Generous tannin takes on a leathery feel on the palate, finding a softness that lingers on the finish.",Private Reserve Oakville Station,91,129.0,California,Oakville,Napa,Virginie Boone,@vboone,Spoto 2013 Private Reserve Oakville Station Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Spoto,High
22,US,"Right out of the chute this has sappy, delicious black cherry fruit, accented with scents of tobacco and graphite. Streaks of ash and more juicy berries fill the middle, as it unfolds into a taut, sculpted finish. A classical style from a vintage that favors it; accessible, yet built for cellaring.",Seven Hills Vineyard,93,28.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2008 Seven Hills Vineyard Merlot (Walla Walla Valley (WA)),Merlot,Seven Hills,High
23,France,"A great success for this southern Médoc chateau, this is fine, elegant and perfumed. It bursts with a black fruit flavor, balanced by smooth tannins and acidity. It's a wine for medium-term aging over the next six years.",,92,,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Cantemerle 2010  Haut-Médoc,Bordeaux-style Red Blend,Château Cantemerle,High
24,Austria,"The merest hint of lemon oil appears on the nose. The palate is present with concentration and poise: all that is to be had for now is zesty ripe lemon and stone. This will take time to unfold as it holds generous fruit at its presently tight, taut core. It is the midpalate concentration and zestiness that promise so much. Drink from 2020 through 2040.",Steinertal Smaragd,94,60.0,Wachau,,,Anne Krebiehl MW,@AnneInVino,Alzinger 2015 Steinertal Smaragd Riesling (Wachau),Riesling,Alzinger,High
25,US,"Clean and easy lines of sea salt, pan-fried nectarine, light honeysuckle and a hint of sweet chive show on the nose of this bottling. The rounded mouthfeel brings forth flavors of buttered apples, salted pear slices and lemon curd, and there is a tannic tension that binds it all together.",Bar Lazy S Ranch,92,45.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Foley 2015 Bar Lazy S Ranch Chardonnay (Sta. Rita Hills),Chardonnay,Foley,High
26,Austria,"You are in for a treat with this subtle, fruitful Riesling which reveals its subtle charms rather slowly. The nose is shy but the palate shines with ripe, aromatic apricot fruit, accentuated by lemon freshness and centered around a concentrated core of fruit and zest. This is slender but generous, refreshing and lasting. A wine with utter charm to take time over.",Königsberg,91,18.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Gruber Röschitz 2015 Königsberg Riesling (Niederösterreich),Riesling,Gruber Röschitz,High
27,US,"The winery's grand statement of the year, this blend of 73% Cabernet Sauvignon and 27% Cabernet Franc is sourced from several vineyards, including the Tonella site in Rutherford, Stagecoach atop Atlas Peak and Frediani Vineyard in Calistoga. Thick, rich and dusty, it exudes Rutherford's magical dust, followed by chocolate and black licorice, just a trace of fennel on the lengthy finish.",Cambium,93,125.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Sequoia Grove 2011 Cambium Red (Napa Valley),Bordeaux-style Red Blend,Sequoia Grove,High
28,France,The Bordeaux outpost of the Jackson family winery has produced a rich wine in this vintage. It is structured with swathes of ripe black fruits. The tannins promise some serious aging for this complex ripe wine with its solid texture. Drink from 2023.,,92,75.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Lassègue 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Lassègue,High
29,France,"This wine is firm and structured, with dark tannins and a dense texture that is still dry. It offers ripe fruit as well as acidity, currently overshadowed by the tannins but will come to the fore with some time. The wine will age well, thanks to the solid structure and dry core of tannins. Drink from 2020.",Les Chaillots Premier Cru,91,90.0,Burgundy,Aloxe-Corton,,Roger Voss,@vossroger,Louis Latour 2014 Les Chaillots Premier Cru  (Aloxe-Corton),Pinot Noir,Louis Latour,High
30,Italy,"In reaction to Mount Etna's volcanic eruptions, local farmers have adopted a unique mix of Christianity and mysticism to protect against imminent dangers. Many vineyard sites are anointed with religious names, like Santo Spirito, as if the name were a lucky charm in itself. This delightful vineyard-designate wine is ethereal and bright, with loads of small berry intensity and a dusty, dry finish.",Santo Spirito,92,40.0,Sicily & Sardinia,Etna,,,,Tenuta delle Terre Nere 2008 Santo Spirito  (Etna),Red Blend,Tenuta delle Terre Nere,High
31,Spain,"This single-vineyard beauty continues its run of excellence. The '07 is dense, toasty and powerful, with bacon, vanilla, cigar box and wild berry aromas that set up a strong-boned, fully structured palate overflowing with dark cherry, boysenberry, tobacco and sweet vanilla flavors. Needs time; drink from 2012 through 2022.",Amancio,94,174.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Sierra Cantabria 2007 Amancio  (Rioja),Tempranillo,Sierra Cantabria,High
32,US,"The largest production offering of this variety for this producer, this features fruit sourced from a who's who of local growers, including Sangiacomo, Dutton and Martinelli, in addition to the estate-run Wildcat Mountain Vineyard. The result is satisfyingly impressive in viscous oak, graham cracker and Meyer lemon. Tangy and flinty on the finish, it's smooth and focused.",,91,25.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,MacRostie 2013 Chardonnay (Sonoma Coast),Chardonnay,MacRostie,High
33,New Zealand,"Firmer and more tannic than many Hawke's Bay Syrahs, this is nonetheless classy, with gentle cracked-pepper notes and ripe blueberries upfront, followed by layers of blackberries, black olives and spice. The lingering finish features bright berries underscored by coffee grounds. Drink 2018–2025.",Deerstalkers,92,40.0,Hawke's Bay,,,Joe Czerwinski,@JoeCz,Sacred Hill 2013 Deerstalkers Syrah (Hawke's Bay),Syrah,Sacred Hill,High
34,US,"Strong impressions of bold fruit flavors partner with enchanting new oak nuances. Aromas offer cedar, tobacco and clove, while flavors resemble black cherry, currant and dark chocolate. This is robust, packed with opulent fruit and framed by a layer of fine tannins that needs time to soften. It will be best after 2020.",Jewel Collection Estate,92,50.0,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Ruby Hill Winery 2011 Jewel Collection Estate Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,Ruby Hill Winery,High
35,Italy,"Alluring aromas suggest hawthorne, stone fruit, dried hay, flint and almond. The savory palate delivers white peach, yellow apple, lemon drop and nectarine accented with sage and mineral notes. The fruit richness is brightened by crisp acidity.",Abbazia di Rosazzo,91,55.0,Northeastern Italy,Rosazzo,,Kerin O’Keefe,@kerinokeefe,Livio Felluga 2011 Abbazia di Rosazzo  (Rosazzo),White Blend,Livio Felluga,High
36,France,This is a firmly structured wine that balances tautness and minerality with ripe berry and plum flavors. There is remarkable power and potential in this solid wine.,,93,,Provence,Bandol,,Roger Voss,@vossroger,Chateau de Pibarnon 2011 Red (Bandol),Rhône-style Red Blend,Chateau de Pibarnon,High
37,Italy,"This dazzling red boasts aromas of wild berry, chopped herb, violet and a whiff of truffle. The linear balanced palate also boasts surprising structure for the vintage, delivering juicy wild cherry, licorice and clove alongside silky elegant tannins and bright acidity. Incredibly enjoyable, one bottle may not be enough.",Rossofonte,91,,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Ciacci Piccolomini d'Aragona 2014 Rossofonte  (Rosso di Montalcino),Sangiovese,Ciacci Piccolomini d'Aragona,High
38,Portugal,"The Encruzado, grown almost exclusively in the Dão is one of Portugal's unsung great grapes. This wine—perfumed, steely and mineral—really brings out the granite soil of the region. It's tight, taut and packed with acidity as well as hints of yellow fruits. Drink from late 2016.",O Oenólogo Branco,92,35.0,Dão,,,Roger Voss,@vossroger,Casa da Passarella 2014 O Oenólogo Branco Encruzado (Dão),Encruzado,Casa da Passarella,High
39,New Zealand,"With only 56 cases imported, this may be one of the hardest Saint Clair wines to find, but it offers a refreshingly austere alternative to some of the winery's other bottlings. It's only medium bodied, with delicate, leafy aromas and pristine white-grapefruit flavors. Convincingly dry and bracing on the finish, it would make a brisk counterpoint to rich fish dishes.",Pioneer Block 24 Arthur,91,27.0,Marlborough,,,Joe Czerwinski,@JoeCz,Saint Clair 2013 Pioneer Block 24 Arthur Sauvignon Blanc (Marlborough),Sauvignon Blanc,Saint Clair,High
40,France,"90-92. Barrel sample. A powerhouse of dark tannins, this wine is black in color and dark in taste. It has bitter chocolate flavors, with notes of new wood and intense spice.",Barrel Sample,91,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château la Couspaude 2011 Barrel Sample  (Saint-Émilion),Bordeaux-style Red Blend,Château la Couspaude,High
41,Spain,"This blend of Cabernet Sauvignon, Petit Verdot and Syrah initially smells cool and earthy, then more woody, spicy and animal-like. On the palate, this is concentrated and deep, with milder tannins than the winery's varietal Petit Verdot. Flavors of blackberry and cassis are powerful, while burnt wood, bitter chocolate and peppery flavors drive a muscular finish. Drink now through 2020.",Emeritvs,92,100.0,Central Spain,Dominio de Valdepusa,,Michael Schachner,@wineschach,Marques de Griñon 2008 Emeritvs Red (Dominio de Valdepusa),Red Blend,Marques de Griñon,High
42,US,"Textbook Napa Petite Sirah—rich, smooth and insanely delicious. Chocolate blackberry jam, spiced plum pudding and toasty oak flavors, are wrapped into thick, velvety tannins. What a great summer barbecue wine, or with mid-winter short ribs of beef. Terrific now, and will age for a decade or more.",S&J Vineyard Reserve,93,65.0,California,Napa Valley,Napa,,,Frank Family 2010 S&J Vineyard Reserve Petite Sirah (Napa Valley),Petite Sirah,Frank Family,High
43,France,"This impressive dry wine is made as part of a club of producers who taste and evaluate each other's wines before release. A blend of 60% Pinot Noir and 40% Chardonnay, it is full of white fruit with a toasty edge that gives the wine weight. Behind this is a strongly mineral character with bite and zest that will allow it age further. Drink from 2020.",Premier Cru Special Club,95,65.0,Champagne,Champagne,,Roger Voss,@vossroger,Duménil 2012 Premier Cru Special Club  (Champagne),Champagne Blend,Duménil,High
44,US,"This Pinot has everything going for it. It's dry and tart in acidity, with a silky texture, yet rich in raspberries, cola, mint and sandalwood. It's not one of Testarossa's more expensive single-vineyard wines, but it's close to them, with a classic evocation of coastal Pinot Noir.",,91,42.0,California,Santa Lucia Highlands,Central Coast,,,Testarossa 2011 Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,High
45,France,"93-95 Barrel sample. Tight wine, the tannins firm, giving considerable dryness. With its dark texture, this is solid, but finishing with the freshest of blackcurrant juice.",Barrel sample,94,,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Lagrange 2009 Barrel sample  (Saint-Julien),Bordeaux-style Red Blend,Château Lagrange,High
46,France,"Big and showy, with an ripe, opulent feel, this is all about dark fruits and firm tannins. Flavors of black cherries and plums are balanced by the acidity, all rolled together into a structure that's powerful and seriously age-worthy.",,94,248.0,Burgundy,Chambertin Clos de Bèze,,Roger Voss,@vossroger,Chanson Père et Fils 2009  Chambertin Clos de Bèze,Pinot Noir,Chanson Père et Fils,High
47,US,"With this wine, Dolce cements its status as California's most consistently great dessert wine. This year's blend is 80% Sémillon and 20% Sauvignon Blanc, and the grapes were infected with the botrytis, resulting in the fantastic sweetness. Devastating in apricot, orange, pear, honey, vanilla and créme brûlée flavors, in an unctuous, viscous texture, with wonderfully clean acidity, it's certainly one of the greatest sweet California wines in memory.",,98,85.0,California,Napa Valley,Napa,,,Dolce 2006 Semillon-Sauvignon Blanc (Napa Valley),Semillon-Sauvignon Blanc,Dolce,High
48,Italy,"This is an exceptional Syrah with a spirited Tuscan soul that delivers great intensity throughout and spicy tones of ripe fruit, smoked bacon, blueberry syrup and freshly milled black pepper. It's a beautiful expression of the variety with an impeccable mouthfeel and pristine flavors that ride strong until the very end.",Syrah,94,200.0,Tuscany,Toscana,,,,Tua Rita 2005 Syrah Syrah (Toscana),Syrah,Tua Rita,High
49,Argentina,"This hefty dark Malbec is full on the nose, with aromas of tree bark, cola and muscled-up black fruits. A flush jammy palate tips the scale, while peppery, lightly herbal blackberry flavors simmer with toasty oak in front of a balanced finish that echoes with herbal afternotes. Drink through 2022.",R&B Single Vineyard,92,90.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Mendoza Vineyards 2013 R&B Single Vineyard Malbec (Mendoza),Malbec,Mendoza Vineyards,High
50,US,"Powerful and lush, this is a velvety, classically styled Russian River Valley Pinot, weighty and lip smacking in black cherry and touch of earth buoyed by finely hued acidity. Perfectly enjoyable right now, it'll age, too, the spicy undertones coaxed to take center stage.",,94,55.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Paul Hobbs 2012 Pinot Noir (Russian River Valley),Pinot Noir,Paul Hobbs,High
51,Italy,"Aromas of underbrush, tobacco, baked earth and a whiff of pressed rose float from the glass. The round, full-bodied palate delivers dried berry, licorice and clove alongside ripe tannins. It's balanced but it also shows the heat of the vintage and is already almost accessible. Drink 2017–2021.",Garblèt Suè,92,85.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Brovia 2011 Garblèt Suè  (Barolo),Nebbiolo,Brovia,High
52,US,"Concentrated in black currant and clove, this is a soft, silky wine, lengthy and substantial without ever becoming overbearing in terms of power or oak. Lovely anise accents the crisp fruit, providing a worthy example of the appellation and clean winemaking coming together in an elegant way.",Estate Bottled,94,50.0,California,Stags Leap District,Napa,Virginie Boone,@vboone,Regusci 2012 Estate Bottled Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Regusci,High
53,Portugal,"This is a ripe powerful wine. It has layers of wood aging adding spice to the rich black-plum fruit. Smoky, rich and concentrated, it is an impressive wine that is going to need some long-term aging. Drink from 2019.",Ikon,92,45.0,Tejo,,,Roger Voss,@vossroger,Fiuza 2013 Ikon Touriga Nacional (Tejo),Touriga Nacional,Fiuza,High
54,Italy,"Cherry cola, licorice, fresh berry fruit, cigar box and smoky tobacco give this wine a bright, albeit slightly rustic, personality. In the mouth, it shows nicely balanced acidity and tannins, providing extra length to the dry, elegant finish.",Riserva,91,85.0,Tuscany,Brunello di Montalcino,,,,Ridolfi 2007 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Ridolfi,High
55,France,"Produced from Grand Cru vineyards on the Montagne de Reims, this wine is rich, dry and tightly structured. A mineral texture gives a steely edge that is balanced by perfumed fruit with apple and creamed pear flavors.",Blanc de Noirs Extra Brut,91,73.0,Champagne,Champagne,,Roger Voss,@vossroger,Henriet-Bazin NV Blanc de Noirs Extra Brut Pinot Noir (Champagne),Pinot Noir,Henriet-Bazin,High
56,Spain,"Serious wine for serious Ribera lovers, even if it's from a generally weak vintage. Smells of bacon grease, graphite and dark berry fruits. Feels tight and youthfully tannic, with hickory, smoked meat, clove, toast and blackberry flavors. Clove and spice rest heavily on the woody finish; needs time to evolve and absorb its oak treatment. Best from 2013–2018.",Malleolus de Valderramiro,92,212.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Emilio Moro 2008 Malleolus de Valderramiro  (Ribera del Duero),Tinto Fino,Emilio Moro,High
57,France,"A gold colored wine, it is honeyed, almost as if touched by botrytis. It's full and rich with a syrupy texture, very smooth, the spice is completely sublimated by the mature character and some fragrant final acidity. It's ready to drink.",Sonnenglanz Grand Cru,92,45.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Bott-Geyl 2007 Sonnenglanz Grand Cru Gewurztraminer (Alsace),Gewürztraminer,Domaine Bott-Geyl,High
58,France,"90-92 Great structure, great acidity, with the ripe fruit pierced with acidity. The tannins are hugely powerful and dry.",Barrel sample La Dame de Montrose,91,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Montrose 2010 Barrel sample La Dame de Montrose  (Saint-Estèphe),Bordeaux-style Red Blend,Château Montrose,High
59,US,"Quite light in color, especially for the alcohol level, this wine offers dried red cherries, hibiscus, rose petals, pencil shavings and a touch of hot asphalt on the spicy and fun nose. Lots of lively red fruit energy comes forth once sipped, with nutmeg, clove spice, ginger snaps and molasses flavors rounding out a memorable pour.",,93,21.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Felten Cellars 2013 Zinfandel (Paso Robles),Zinfandel,Felten Cellars,High
60,US,"A very rich Bordeaux blend based on Cabernet Sauvignon, but quite tannic. You want to give it some time in the cellar. Dry and full-bodied, it shows ripe, deep flavors of blackberry jam, black currants, dark chocolate and anise, with smoky overtones from oak. Feels dramatic and impressive. Give it until 2012 to come around.",Cuvée Kristin,93,55.0,California,Sonoma Mountain,Sonoma,,,Korbin Kameron 2006 Cuvée Kristin Red (Sonoma Mountain),Bordeaux-style Red Blend,Korbin Kameron,High
61,US,"Concentrated but fresh aromas of black cherries and blueberries mesh with hot black gravel and nose-tickling lilacs on this wine by the Fess Parker family. Dark chocolate, peppery spice, black cherry syrup and mocha flavors shine on the robust, rich and delicious palate.",Rodney's Vineyard,92,32.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Epiphany 2012 Rodney's Vineyard Petite Sirah (Santa Barbara County),Petite Sirah,Epiphany,High
62,US,"Complex aromas of honeysuckle, whipped butter, poached pear, baked white peach, sea salt and crushed rocks find their way into this rich, layered and yet zesty wine by Brian Loring. Ripe Gala apples meet with sea salt and slate on the palate that shows a lot of ocean influence. A slow sizzle of acidity presents more flavors of toast, vanilla and clove.",Sierra Mar Vineyard,93,44.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Loring Wine Company 2015 Sierra Mar Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Loring Wine Company,High
63,US,"Winemaker Matthieu Finot deftly transforms this wine by keeping it on the skins for three weeks with a daily punch-downs, then allowing 100% malolactic fermentation during aging in neutral oak. This orange wine boasts a gorgeous bouquet of fresh apricot, orange blossom and rooibos tea. These aromas transition onto the palate where they taste concentrated and fresh. It's dry, with delicate tannins and a clean finish that lingers and evolves.",Orange,92,35.0,Virginia,Monticello,,Carrie Dykes,,King Family 2015 Orange Viognier (Monticello),Viognier,King Family,High
64,France,The wine is structured with solid tannins and a foursquare character. Ripe fruits with plenty of balancing acidity give this wine its density and its crisp edge. This is a fruity wine that will develop slowly and well. Drink from 2020.,,91,79.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,Louis Latour 2015  Nuits-St.-Georges,Pinot Noir,Louis Latour,High
65,South Africa,"Opulent, lush and round in style, this leads with ripe aromas of apricot, yellow apple and mange, laced with hints of clementine oil, marzipan and toasted baking spice. The palate is full and creamy, but balanced by ample acidity, lifting the texture from an overly flabby impression. Flavors of woody spice and peach pit dance on the lingering finish. Drink now–2017.",Nine Yards,91,50.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Jardin 2011 Nine Yards Chardonnay (Stellenbosch),Chardonnay,Jardin,High
66,France,"Full bodied and concentrated, with a long, chewy finish, this wine gets points for being complex as well. It's plummy yet savory, with touches of braised beef, coffee and black olive. Drink 2013–2023.",Cuvée Spéciale,92,85.0,Rhône Valley,Châteauneuf-du-Pape,,Joe Czerwinski,@JoeCz,Tardieu-Laurent 2007 Cuvée Spéciale Grenache (Châteauneuf-du-Pape),Grenache,Tardieu-Laurent,High
